datetime,open,high,low,close,volume
2024-01-02 08:45:00,17000,17004,16996,17000,1616
2024-01-02 08:50:00,17004,17005,16998,17000,559
2024-01-02 08:55:00,16997,17008,16995,17006,978
2024-01-02 09:00:00,17006,17009,17002,17005,2262
2024-01-02 09:05:00,17005,17020,16994,17009,371
2024-01-02 09:10:00,17010,17011,17010,17011,220
2024-01-02 09:15:00,17009,17022,16996,17009,919
2024-01-02 09:20:00,17005,17009,16997,17001,244
2024-01-02 09:25:00,17001,17011,16988,16998,1667
2024-01-02 09:30:00,16998,17007,16990,16999,269
2024-01-02 09:35:00,17002,17008,16986,16992,1659
2024-01-02 09:40:00,16990,17001,16981,16992,545
2024-01-02 09:45:00,16994,17002,16978,16986,521
2024-01-02 09:50:00,16991,16992,16985,16986,341
2024-01-02 09:55:00,16986,16996,16977,16987,2089
2024-01-02 10:00:00,16985,16989,16981,16986,282
2024-01-02 10:05:00,16985,17006,16973,16994,969
2024-01-02 10:10:00,16994,16995,16987,16989,318
2024-01-02 10:15:00,16990,16992,16982,16984,606
2024-01-02 10:20:00,16983,16989,16970,16976,244
2024-01-02 10:25:00,16979,16988,16967,16976,512
2024-01-02 10:30:00,16974,16984,16967,16977,324
2024-01-02 10:35:00,16974,16982,16967,16976,1670
2024-01-02 10:40:00,16978,16983,16967,16972,319
2024-01-02 10:45:00,16967,16981,16963,16976,407
2024-01-02 10:50:00,16976,16978,16967,16969,978
2024-01-02 10:55:00,16975,16976,16966,16967,843
2024-01-02 11:00:00,16967,16973,16964,16970,1224
2024-01-02 11:05:00,16967,16978,16964,16974,358
2024-01-02 11:10:00,16974,16976,16971,16973,730
2024-01-02 11:15:00,16973,16983,16967,16977,249
2024-01-02 11:20:00,16978,16988,16966,16976,319
2024-01-02 11:25:00,16978,16986,16962,16970,241
2024-01-02 11:30:00,16968,16985,16960,16977,333
2024-01-02 11:35:00,16980,16989,16973,16982,307
2024-01-02 11:40:00,16982,16998,16962,16979,1058
2024-01-02 11:45:00,16980,16993,16973,16986,301
2024-01-02 11:50:00,16985,16996,16982,16993,528
2024-01-02 11:55:00,16996,16996,16996,16996,228
2024-01-02 12:00:00,16995,17003,16987,16995,648
2024-01-02 12:05:00,16995,16995,16985,16985,910
2024-01-02 12:10:00,16983,16990,16981,16987,1041
2024-01-02 12:15:00,16985,16997,16973,16985,931
2024-01-02 12:20:00,16987,16989,16980,16982,1587
2024-01-02 12:25:00,16981,16986,16980,16984,460
2024-01-02 12:30:00,16983,16999,16970,16987,797
2024-01-02 12:35:00,16985,16994,16982,16991,2904
2024-01-02 12:40:00,16993,17002,16981,16989,325
2024-01-02 12:45:00,16988,16996,16974,16982,817
2024-01-02 12:50:00,16982,16985,16980,16984,791
2024-01-02 12:55:00,16984,16987,16979,16982,344
2024-01-02 13:00:00,16979,16986,16972,16980,918
2024-01-02 13:05:00,16977,16989,16963,16976,1245
2024-01-02 13:10:00,16976,16985,16969,16978,1026
2024-01-02 13:15:00,16976,16981,16975,16979,1325
2024-01-02 13:20:00,16982,16994,16966,16979,268
2024-01-02 13:25:00,16981,16982,16977,16978,452
2024-01-02 13:30:00,16980,16999,16971,16990,265
2024-01-02 13:35:00,16994,17003,16983,16992,1019
2024-01-02 13:40:00,16992,16995,16983,16986,346
2024-01-03 08:45:00,16987,17001,16976,16990,349
2024-01-03 08:50:00,16989,17009,16967,16986,264
2024-01-03 08:55:00,16991,16993,16978,16980,296
2024-01-03 09:00:00,16984,17005,16970,16991,338
2024-01-03 09:05:00,16991,17006,16973,16988,537
2024-01-03 09:10:00,16989,17010,16964,16985,273
2024-01-03 09:15:00,16988,16995,16978,16985,781
2024-01-03 09:20:00,16985,16990,16981,16987,1090
2024-01-03 09:25:00,16985,16995,16985,16994,511
2024-01-03 09:30:00,16996,17001,16987,16992,558
2024-01-03 09:35:00,16992,16996,16983,16986,363
2024-01-03 09:40:00,16987,16995,16984,16993,270
2024-01-03 09:45:00,16991,17004,16981,16993,800
2024-01-03 09:50:00,16990,17013,16974,16997,279
2024-01-03 09:55:00,16998,17020,16968,16990,275
2024-01-03 10:00:00,16992,16994,16990,16992,250
2024-01-03 10:05:00,16991,16994,16991,16994,368
2024-01-03 10:10:00,16997,16997,16994,16994,462
2024-01-03 10:15:00,16993,17003,16981,16991,385
2024-01-03 10:20:00,16989,17004,16979,16994,1280
2024-01-03 10:25:00,16994,17007,16984,16997,843
2024-01-03 10:30:00,16997,17010,16987,17001,348
2024-01-03 10:35:00,17002,17008,16992,16997,681
2024-01-03 10:40:00,16995,17013,16982,17000,384
2024-01-03 10:45:00,17002,17011,17000,17009,715
2024-01-03 10:50:00,17013,17016,17003,17006,234
2024-01-03 10:55:00,17005,17014,16993,17001,562
2024-01-03 11:00:00,17004,17015,16991,17003,1708
2024-01-03 11:05:00,17001,17018,16990,17007,532
2024-01-03 11:10:00,17009,17033,16990,17014,254
2024-01-03 11:15:00,17016,17032,17012,17028,346
2024-01-03 11:20:00,17029,17031,17021,17024,206
2024-01-03 11:25:00,17024,17031,17018,17025,314
2024-01-03 11:30:00,17020,17039,17010,17029,1115
2024-01-03 11:35:00,17028,17036,17021,17029,372
2024-01-03 11:40:00,17027,17028,17020,17021,796
2024-01-03 11:45:00,17019,17031,17012,17025,654
2024-01-03 11:50:00,17025,17028,17016,17019,1040
2024-01-03 11:55:00,17018,17026,17013,17021,681
2024-01-03 12:00:00,17019,17021,17019,17021,436
2024-01-03 12:05:00,17019,17030,17004,17015,1474
2024-01-03 12:10:00,17014,17023,17009,17018,274
2024-01-03 12:15:00,17021,17028,17017,17024,634
2024-01-03 12:20:00,17023,17023,17018,17019,886
2024-01-03 12:25:00,17018,17030,17009,17021,1016
2024-01-03 12:30:00,17020,17043,17018,17040,496
2024-01-03 12:35:00,17041,17047,17039,17046,295
2024-01-03 12:40:00,17047,17051,17045,17049,302
2024-01-03 12:45:00,17043,17063,17033,17053,219
2024-01-03 12:50:00,17055,17071,17036,17051,1323
2024-01-03 12:55:00,17054,17064,17041,17051,236
2024-01-03 13:00:00,17049,17050,17043,17044,301
2024-01-03 13:05:00,17042,17044,17034,17036,768
2024-01-03 13:10:00,17035,17045,17032,17041,1188
2024-01-03 13:15:00,17040,17053,17023,17036,281
2024-01-03 13:20:00,17037,17043,17032,17039,318
2024-01-03 13:25:00,17035,17042,17033,17040,336
2024-01-03 13:30:00,17037,17047,17027,17037,1344
2024-01-03 13:35:00,17040,17063,17017,17040,3236
2024-01-03 13:40:00,17039,17044,17034,17040,457
2024-01-04 08:45:00,17043,17046,17041,17044,720
2024-01-04 08:50:00,17044,17056,17031,17043,630
2024-01-04 08:55:00,17039,17055,17031,17047,1555
2024-01-04 09:00:00,17048,17061,17032,17045,593
2024-01-04 09:05:00,17045,17045,17041,17042,924
2024-01-04 09:10:00,17041,17046,17039,17044,308
2024-01-04 09:15:00,17045,17050,17043,17048,657
2024-01-04 09:20:00,17049,17055,17046,17053,1124
2024-01-04 09:25:00,17055,17056,17049,17050,349
2024-01-04 09:30:00,17053,17058,17042,17048,254
2024-01-04 09:35:00,17049,17055,17045,17051,240
2024-01-04 09:40:00,17049,17062,17037,17050,424
2024-01-04 09:45:00,17050,17053,17041,17044,1190
2024-01-04 09:50:00,17050,17058,17032,17039,544
2024-01-04 09:55:00,17040,17042,17032,17034,454
2024-01-04 10:00:00,17038,17040,17032,17034,246
2024-01-04 10:05:00,17037,17038,17028,17029,727
2024-01-04 10:10:00,17029,17042,17016,17029,1440
2024-01-04 10:15:00,17030,17031,17029,17031,445
2024-01-04 10:20:00,17030,17031,17028,17028,2197
2024-01-04 10:25:00,17025,17050,17002,17027,1089
2024-01-04 10:30:00,17027,17031,17025,17029,940
2024-01-04 10:35:00,17032,17035,17022,17025,354
